continent,country,city,airport_name,airport_code
North America,USA,Cheyenne,Cheyenne,CYS
North America,USA,Chicago Midway,Chicago Midway,MDW
North America,USA,Chicago O Hare,Chicago O Hare,ORD
North America,USA,Chicago Rockford,Chicago Rockford,RFD
North America,USA,Chicken,Chicken,CKX
North America,USA,Chippewa Valley Regional,Chippewa Valley Regional,EAU
North America,USA,Chisana,Chisana,CZN
North America,USA,Chisholm Hibbing,Chisholm Hibbing,HIB
North America,USA,Chuathbaluk,Chuathbaluk,CHU
North America,USA,Cincinnati Northern Kentucky,Cincinnati Northern Kentucky,CVG
North America,USA,City Of Colorado Springs Muni,City Of Colorado Springs Muni,COS
North America,USA,Clarks Point,Clarks Point,CLP
North America,USA,Cleveland Hopkins,Cleveland Hopkins,CLE
North America,USA,Clovis Muni,Clovis Muni,CVN
North America,USA,Coffman Cove,Coffman Cove,KCC
North America,USA,Cold Bay,Cold Bay,CDB
North America,USA,Columbia Metropolitan,Columbia Metropolitan,CAE
North America,USA,Columbia Rgnl,Columbia Rgnl,COU
North America,USA,Columbus,Columbus,GTR
North America,USA,Columbus Metropolitan,Columbus Metropolitan,CSG
North America,USA,Concord Regional,Concord Regional,USA
North America,USA,Corpus Christi,Corpus Christi,CRP
North America,USA,Cortez Muni,Cortez Muni,CEZ
North America,USA,Craig,Craig,CGA
North America,USA,Craven Co Rgnl,Craven Co Rgnl,EWN
North America,USA,Crooked Creek,Crooked Creek,CKD
North America,USA,Dallas Fort Worth,Dallas Fort Worth,DFW
North America,USA,Dallas Love Fld,Dallas Love Fld,DAL
North America,USA,Dane Co Rgnl Truax Fld,Dane Co Rgnl Truax Fld,MSN
North America,USA,Dawson Community,Dawson Community,GDV
North America,USA,Daytona Beach,Daytona Beach,DAB
North America,USA,Deadhorse,Deadhorse,SCC
North America,USA,Decatur,Decatur,DEC
North America,USA,Deering,Deering,DRG
North America,USA,Del Norte County,Del Norte County,CEC
North America,USA,Delta County,Delta County,ESC
North America,USA,Denver,Denver,DEN
North America,USA,Des Moines,Des Moines,DSM
North America,USA,Detroit Metropolitan,Detroit Metropolitan,DTW
North America,USA,Devils Lake Regional,Devils Lake Regional,DVL
North America,USA,Dickinson Regional,Dickinson Regional,DIK
North America,USA,Dillingham,Dillingham,DLG
North America,USA,Dodge City Regional,Dodge City Regional,DDC
North America,USA,Dothan Rgnl,Dothan Rgnl,DHN
North America,USA,DuBois Regional,DuBois Regional,DUJ
North America,USA,Dubuque,Dubuque,DBQ
North America,USA,Duluth,Duluth,DLH
North America,USA,Durango La Plata Co,Durango La Plata Co,DRO
North America,USA,Eagle,Eagle,EAA
North America,USA,Eagle Co Rgnl,Eagle Co Rgnl,EGE
North America,USA,East Texas Rgnl,East Texas Rgnl,GGG
North America,USA,Eastern Oregon Regional,Eastern Oregon Regional,PDT
North America,USA,Eastern Sierra Regional,Eastern Sierra Regional,BIH
North America,USA,Easterwood Fld,Easterwood Fld,CLL
North America,USA,Edna Bay,Edna Bay,EDA
North America,USA,Edward G Pitka Sr,Edward G Pitka Sr,GAL
North America,USA,Eek,Eek,EEK
North America,USA,Egegik,Egegik,EGX
North America,USA,Eglin Afb,Eglin Afb,VPS
North America,USA,El Paso,El Paso,ELP
North America,USA,Elfin Cove,Elfin Cove,ELV
North America,USA,Elim,Elim,ELI
North America,USA,Elko Regional,Elko Regional,EKO
North America,USA,Elmira Corning Rgnl,Elmira Corning Rgnl,ELM
North America,USA,Emmonak,Emmonak,EMK
North America,USA,Eppley Afld,Eppley Afld,OMA
North America,USA,Erie Tom Ridge Fld,Erie Tom Ridge Fld,ERI
North America,USA,Ernest A Love Fld,Ernest A Love Fld,PRC
North America,USA,Evansville Regional,Evansville Regional,EVV
North America,USA,Fairbanks,Fairbanks,FAI
North America,USA,Falls,Falls,INL
North America,USA,False Pass,False Pass,KFP
North America,USA,Fayetteville Regional Grannis Field,Fayetteville Regional Grannis Field,FAY
North America,USA,Flagstaff Pulliam,Flagstaff Pulliam,FLG
North America,USA,Florence,Florence,FLO
North America,USA,Ford,Ford,IMT
North America,USA,Fort Dodge Rgnl,Fort Dodge Rgnl,FOD
North America,USA,Fort Lauderdale Hollywood,Fort Lauderdale Hollywood,FLL
North America,USA,Fort Leonard Wood,Fort Leonard Wood,TBN
North America,USA,Fort Smith Rgnl,Fort Smith Rgnl,FSM
North America,USA,Fort Wayne,Fort Wayne,FWA
North America,USA,Fort Yukon,Fort Yukon,FYU
North America,USA,Four Corners Rgnl,Four Corners Rgnl,FMN
North America,USA,Fresno Yosemite,Fresno Yosemite,FAT
North America,USA,Friday Harbor,Friday Harbor,FRD
North America,USA,Friedman Mem,Friedman Mem,SUN
North America,USA,Gainesville Rgnl,Gainesville Rgnl,GNV
North America,USA,Gallatin Field,Gallatin Field,BZN
North America,USA,Gallup Muni,Gallup Muni,GUP
North America,USA,Gambell,Gambell,GAM
North America,USA,Garden City Rgnl,Garden City Rgnl,GCK
North America,USA,General Mitchell,General Mitchell,MKE
North America,USA,George Bush Intcntl Houston,George Bush Intcntl Houston,IAH
North America,USA,Gerald R Ford,Gerald R Ford,GRR
