arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
PVG,2026-02-15,13:50,MU6794,China Eastern,Duration: 2h 25m,"912 miles, 1467 km",Boeing 737-500 (winglets) Passenger,168,,Meal (none specific)
PVG,2026-02-15,13:50,MU6328,China Eastern,Duration: 2h 25m,"990 miles, 1593 km",Airbus A321,177,HO 5515 /EY 6030,Meal (none specific)
PVG,2026-02-15,13:55,9C8810,Spring Airlines,Duration: 3h 0m,"917 miles, 1475 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,13:55,9C8534,Spring Airlines,Duration: 3h 55m,"1750 miles, 2816 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,13:55,FM9098,Shanghai Airlines,Duration: 2h 30m,"699 miles, 1125 km",Boeing 737-500 (winglets) Passenger,166,MU 8330,Meal (none specific)
PVG,2026-02-15,13:55,MU6620,China Eastern,Duration: 2h 55m,"1023 miles, 1646 km",Boeing 737 Mixed Configuration,76,HO 5519 /MF 2206 /EY 5753,Meal (none specific)
PVG,2026-02-15,13:55,MU5652,China Eastern,Duration: 3h 15m,"918 miles, 1477 km",Airbus A320neo,158,HO 5443 /MF 3922 /EY 6020,Meal (none specific)
PVG,2026-02-15,14:00,HO2172,Juneyao Airlines,Duration: 2h 40m,"763 miles, 1228 km",Airbus A320neo,164,,Meal (none specific)
PVG,2026-02-15,14:05,HO2200,Juneyao Airlines,Duration: 2h 5m,"692 miles, 1113 km",Airbus A320,159,3U 4608 /CZ 272 /MF 7719 /MU 3862 /ZH 5263,Meal (none specific)
PVG,2026-02-15,14:05,HO1506,Juneyao Airlines,Duration: 2h 50m,"817 miles, 1315 km",Airbus A321neo,207,MU 3960 /NH 9756,Meal (none specific)
PVG,2026-02-15,14:05,MU9156,China Eastern,Duration: 1h 40m,"475 miles, 764 km",Airbus A320neo,158,AF 5249,Meal (none specific)
PVG,2026-02-15,14:05,MU6228,China Eastern,Duration: 2h 40m,"952 miles, 1532 km",Airbus A320neo,158,HO 5455 /MF 7482 /EY 5994,Meal (none specific)
PVG,2026-02-15,14:10,CA8544,Air China,Duration: 2h 35m,"912 miles, 1467 km",Airbus A321,180,NZ 3734 /SC 5154 /ZH 4828,Meal (none specific)
PVG,2026-02-15,14:15,MH388,Malaysia Airlines,Duration: 5h 20m,"2371 miles, 3815 km",Airbus A330-300,290,CZ 706,Meal (none specific)
PVG,2026-02-15,14:15,MU5042,China Eastern,Duration: 2h 20m,"513 miles, 825 km",Airbus A330-300,290,FM 3068 /KE 5857,Meal (none specific)
PVG,2026-02-15,14:15,VN532,Vietnam Airlines,Duration: 3h 5m,"1209 miles, 1945 km",Airbus A321,184,CZ 7959 /MU 8970,Meal (none specific)
PVG,2026-02-15,14:15,VN524,Vietnam Airlines,Duration: 3h 55m,"1715 miles, 2759 km",Boeing 787,312,CZ 7961 /MU 8972,Meal (none specific)
PVG,2026-02-15,14:20,CZ6543,China Southern,Duration: 3h 5m,"917 miles, 1475 km",Airbus A321,188,AA 9080,Meal (none specific)
PVG,2026-02-15,14:20,FM802,Shanghai Airlines,Duration: 2h 0m,"422 miles, 679 km",Boeing 737-500 (winglets) Passenger,166,,Meal (none specific)
PVG,2026-02-15,14:20,MU6292,China Eastern,Duration: 3h 20m,"1182 miles, 1902 km",Airbus A320,158,HO 5573 /MF 7502 /EY 5848,Meal (none specific)
PVG,2026-02-15,14:25,CA8586,Air China,Duration: 3h 0m,"917 miles, 1475 km",Airbus A320,158,HO 5756 /NZ 3746 /SC 5440 /ZH 4860,Meal (none specific)
PVG,2026-02-15,14:25,CA8302,Air China,Duration: 3h 15m,"1048 miles, 1686 km",Airbus A321,180,HO 5751 /NZ 3738 /SC 5160 /ZH 4602,Meal (none specific)
PVG,2026-02-15,14:25,MU5060,China Eastern,Duration: 1h 35m,"321 miles, 516 km",Airbus A320neo,158,,Meal (none specific)
PVG,2026-02-15,14:25,Y87580,Suparna Airlines,Duration: 2h 30m,"821 miles, 1321 km",Boeing 737-800 Passenger,181,HU 4752,Meal (none specific)
PVG,2026-02-15,14:30,9C8512,Spring Airlines,Duration: 4h 0m,"1669 miles, 2685 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,14:30,9C8876,Spring Airlines,Duration: 2h 40m,"805 miles, 1295 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,14:30,HU7331,Hainan Airlines,Duration: 2h 20m,"751 miles, 1208 km",Boeing 737-800 Passenger,179,,Meal (none specific)
PVG,2026-02-15,14:30,UQ2599,Urumqi Airlines,Duration: 4h 35m,"2068 miles, 3327 km",Boeing 737-800 Passenger,188,HU 4505,Meal (none specific)
PVG,2026-02-15,14:35,FM9340,Shanghai Airlines,Duration: 2h 55m,"1029 miles, 1656 km",Boeing 737 Passenger,166,MU 8438,Meal (none specific)
PVG,2026-02-15,14:35,KY8209,Kunming Airlines,Duration: 2h 50m,"1227 miles, 1974 km",Boeing 737-800 Passenger,160,ZH 5509 /CA 5719 /TV 8042,Meal (none specific)
